Unicode		按	遺		現		擴	Baxter 白一平	TUPA（用現）	遺	現	遺	現
13679	㕯		孃合山入	✓	孃合二山入	✓	孃合二〇山入	nrweat	nrweet		naat6		na4
13679	㕯		日合仙入	✓	日合三仙入	✓	日合三〇仙入	nywet	njwiet		jyut6		ruo4
13679	㕯		泥魂入	✓	泥合一魂入	✓	泥合一〇魂入	nwot	not		neot6		nu4
13680	㕰		曉江入	✓	曉二江入	✓	曉〇二〇江入	xaewk	hoeuk		hok3		xue
13699	㖃		匣侯上	✓	匣一侯上	✓	匣〇一〇侯上	huwX	ghou②		hau6		hou4
13699	㖃		曉侯上	✓	曉一侯上	✓	曉〇一〇侯上	xuwX	hou②		hau2		hou3
13699	㖃		曉侯去	✓	曉一侯去	✓	曉〇一〇侯去	xuwH	hou③		hau3		hou4
13701	㖅		心合眞入	✓	心合三真入	✓	心合三〇真入	swit	swit		seot1		xu
13711	㖏		泥開先入	✓	泥開四先入	✓	泥開四〇先入	net	net		nit6		nie4
13713	㖑		曉開皆去	✓	曉開二皆去	✓	曉開二〇皆去	xeajH	heej③		haai3		xie4
13714	㖒		定開齊平	✓	定開四齊平	✓	定開四〇齊平	dej	dej		tai4		ti2
13720	㖘		章開眞平	✓	章開三真平	✓	章開三〇真平	tsyin	tjin		zan1		zhen1
13727	㖟		常尤去	✓	常三尤去	✓	常〇三〇尤去	dzyuwH	dju③		sau6		shou4
13733	㖥		羣合B眞上	✓	羣合三B真上	✓	羣合三B真上	gwinX	guin②		gwan6		jun4
13737	㖩		精虞平	✓	精合三虞平	✓	精合三〇虞平	tsju	tsuo		zeoi1		ju1
13738	㖪		曉合耕入	✓	曉合二耕入	✓	曉合二〇耕入	xweak	hweek		fak1		huo
13751	㖷		常開支平	✓	常開三支平	✓	常開三〇支平	dzye	djie		si4		shi2
13761	㗁		疑開唐入	✓	疑開一唐入	✓	疑開一〇唐入	ngak	ngak		ngok6		e4
13769	㗉		來開陽入	✓	來開三陽入	✓	來開三〇陽入	ljak	lyak		loek6		lüe4
