㺜	naw1
㺝	heam2
㺝	haem2
㺞	yo1
㺟	draewk4
㺣	xje1
㺥	dzream1
㺦	ljen1
㺧	xjew1
㺨	sij1
㺪	phaewk4
㺴	peat4
㺹	bjen3
㺺	maw3
㺿	yi1
㻀	yu1
㻆	hwen2
㻌	thu1
㻍	ngu1
㻒	gwin2
㻗	bwoj3
㻝	lat4
㻞	pin1
㻫	pjit4
㻬	thu1
㻯	thu1
㻶	pit4
㻷	kik4
㻸	tsrim1
㻾	jowng1
㻿	dzyowk4
㼉	drim3
㼋	nyo2
㼋	ku1
㼌	yu2
㼎	baewk4
㼏	nwoj2
㼐	ben1
㼑	len3
㼒	thang2
㼔	won1
㼕	tang1
㼗	deng1
㼛	heng1
㼟	paek4
㼠	da1
㼡	dzyu1
㼢	yi1
㼤	khet4
㼥	khaw2
㼦	kjowng2
㼧	duwng1
㼪	tsep4
㼬	heang2
㼭	dem3
㼮	tsrhea1
㼯	tuwng3
㼰	bej1
㼱	nywen2
㼱	nyu1
㼱	tswin3
㼲	lep4
㼲	ljep4
㼳	srjaeng2
㼴	nguw2
㼵	dej2
㼶	yu1
㼸	yowng1
㼹	khaewng1
㼹	khang1
㼺	dang1
㼻	dzraewng1
㼻	dzowng1
㼽	tsrhjang2
㼽	srjang2
㼾	luwk4
㼿	duwng1
㼿	tsyowng3
㽀	drjeng3
㽁	lek4
㽃	phan1
㽄	sje1
㽄	sej1
㽅	tong1
㽇	huwk4
㽈	ngi3
㽉	haem3
㽌	ljuw3
㽎	dom1
㽎	xim1
㽐	xem1
㽑	dom1
㽘	kang2
㽚	trhik4
㽡	pje1
㽤	kjuwk4
㽥	nyuw1
㽦	zwin1
㽨	dza1
㽩	tshom3
㽬	phik4
㽰	srjo1
㽱	kjuw1
㽱	kjiw1
㽱	kaew2
㽲	xjuw2
㽳	xju1
㽴	drjang2
㽵	tsrjang1
㽷	sywij3
㽸	dzyim1
㽹	phjon3
㽺	xop4
㽺	xap4
㽺	kip4
㽻	tsye1
㽽	ku3
㽾	ngwot4
㽿	khwa1
㽿	kwa1
㾀	khjaep4
㾁	xwot4
㾂	xoj1
㾄	duwk4
㾆	nyem1
㾆	tsyhem1
㾇	mjuwk4
㾈	bju2
㾉	leng1
㾊	sreak4
㾋	xjuw1
㾍	noj1
㾏	kea3
㾐	ljej3
㾑	xop4
㾑	ngop4
㾑	top4
㾓	wen1
㾕	swon2
㾕	srim2
㾕	srin1
㾖	li2
㾖	li1
㾙	xjïn3
㾙	xin2
㾛	tshim2
㾜	khep4
㾞	yuw1
㾢	loj3
㾢	loj1
㾤	khaewng1
㾦	phwoj1
㾧	khwa3
㾨	je1
㾨	khje2
㾩	kweaj1
㾪	srjaeng2
㾫	phjien1
㾭	tsrjuw3
㾭	tsraew3
㾯	xwoj1
㾰	hu1
㾶	kwot4
㾷	sje1
㾷	sej1
㾹	dzrea3
㾹	dzrea1
㾺	trhaen3
㾺	mae3
㾺	maen3
㾻	trhjo3
㾻	drjo3
㾻	drjo1
㾾	xem1
㿁	yew1
㿃	trjej3
㿃	taj3
㿄	i1
㿄	ea3
㿉	dwoj1
㿊	tshjen1
㿋	saw3
㿌	xjaem1
㿎	bjun2
㿎	bjun3
㿑	yak4
㿒	drjuw3
㿒	taw2
㿓	keap4
㿕	yem1
㿖	lu3
㿖	lu1
㿙	phij3
㿚	la3
㿛	lje3
㿛	lej3
㿟	kew2
㿣	xat4
㿥	howk4
㿥	haewk4
㿩	thang2
㿪	hwan1
㿬	pae1
㿭	trhaek4
㿮	jaeng1
㿮	jang3
㿯	top4
㿱	zjwet4
㿳	tsri1
㿴	tap4
㿷	tsrhwij3
㿷	tshaw3
㿸	mjon2
㿸	mjon3
㿺	paewk4
㿻	kan1
㿼	ngen1
㿿	ngae2
䀀	phjom3
䀁	hjuw2
䀁	hjuw3
䀂	an1
䀄	muwng1
䀈	xjïj3
䀈	khi3
䀈	khjïj3
䀉	gjew1
䀊	haew2
䀊	kaew2
䀌	xik4
䀍	dom3
䀏	hwen2
䀏	hwen3
䀐	sream1
䀐	sraem3
䀓	hwan3
䀕	drin2
䀗	kwet4
䀘	hwej1
䀙	tshej3
䀛	mat4
䀛	meaj3
䀟	bjïj3
䀠	kju3
䀠	kju1
䀡	trhjem3
䀡	tem3
䀡	tem1
䀢	syi1
䀢	syim2
䀢	sywin3
䀣	pij3
䀣	meat4
䀨	xweat4
䀩	lak4
䀩	ljak4
䀫	keap4
䀬	dzjwen1
䀬	tsrjwen1
䀮	mang1
䀮	xwang1
䀰	kuwk4
䀴	ngeap4
䀴	ngeng2
䀵	syi1
䀶	ljang3
䀷	kjaep4
䀸	trhjej3
䀸	tsyej3
䀸	tsyet4
䀹	tsjep4
䀼	nyin3
䀽	yen1
䀿	tsyet4
䁁	ljang3
䁂	hean2
䁅	maeng3
䁅	meang2
䁆	jaep4
䁇	mok4
䁇	mik4
䁈	khej3
䁈	tu2
䁊	nrij3
䁊	wat4
䁋	dep4
䁋	xep4
䁌	hjut4
䁍	kheap4
䁎	dreang1
䁒	tsip4
䁓	tsuwng2
䁓	tsuwng3
䁓	keaj3
䁔	hwan2
䁔	xjwon2
䁔	xjwon1
䁕	mjin1
䁕	min1
䁘	yew2
䁙	aen3
䁛	kwij3
䁜	xwang2
䁝	yweng1
䁝	hweng1
䁝	waeng2
䁢	zjwen1
䁤	xjwij2
䁤	xjwij3
䁦	tshjo3
䁨	xwak4
䁩	ngjo1
䁬	dzong1
䁮	dzem3
䁮	dzjem1
䁱	uw1
䁱	khuw1
䁲	mea1
䁳	mang2
䁴	syen2
䁴	tsyen2
䁵	pjen2
