	baxter1992	baxter-sagart	jinlixin	lifanggui	msoeg	msoegDK	schuesslerLHC	schuesslerOC	starostinLO	starostinTK	wangli	zhengzhang	zhoufagao	MC
角	krok	C.[k]ˤrok	krok	kruk	k[ɹ]ˁɔk（jiǎo）	krˤok	kɔk	krôk	kroːk（jiǎo）	kroːk（jiǎo）	keɔk	kroːg⸗g·roːg	krewk	見二江入入⸗來一東入入
關	kron⸗kʷran	[k]ˤro[n]⸗kˤro[n]	k/l/on	kwran	kɹˁɔn（guān）⸗kɹˁɔn（guān）⸗kɹˁɔn（guān）	krˤon	kʷan⸗ʔʷan	krôn⸗ʔrôn	kwraːn（guān）	kʷraːn（guān）	koan	kroːn	krwan	見合二刪平
江	kroŋ	kˤroŋ	k/l/oŋ	kruŋ	kʴˁɔŋ（jiāng）	krˤoŋ	kɔŋ	krôŋ	kroːŋ（jiāng）		keɔŋ	kroːŋ	krewŋ	見二江平
丱	krons				kɹˁɔnh（guàn）	krˤonh	kʷanᶜ	krôns	kwraːnh（sā）	kʷreːnh（guàn）	koan	kroːns	krwan	見合二刪去
覺	kruk(s)	kˤruk-s⸗kˤruk	kruh⸗kruk	krəgʷh⸗krəkʷ	k[ɹ]ˁuh（jiào）⸗k[ɹ]ˁuk（jué）	krˤuk	kɔk⸗kɔwᶜ	krûk	kruːk（jué）	kruːh（jiào）	keu⸗keuk	kruːgs⸗kruːg	krəw⸗krəwk	見開二肴去⸗見二江入入
櫜	ku		ku	kəgʷ	kˁu（gāo）	kˤu	kow	kû⸗klu		kuː（gāo）	ku	kɯːw	kəw	見開一豪平
鼛	ku	[k]ˤu	ku	kəgʷ	kˁu（gāo）	kˤu	kow	kû⸗klu		kuː（gāo）	ku	kɯːw	kəw	見開一豪平
告	kuk(s)	kˤuk-s⸗kˤuk	kuh⸗kuk	kəgʷh⸗kəkʷ	kˁuk（gào）⸗kˁuh（gào）	kˤuk⸗kˤukh	kowk⸗kowᶜ	kûk⸗kûkh⸗kluk⸗klukh	kuːh（gào）	kuːk（gào）⸗kuːh（gào）	ku	kuːgs	kəw⸗kəwk	見開一豪去⸗見一冬入入
昆	kun	[k]ˤu[n]	kun	kwən	kˁun（kūn）	kˤun	kʷən	kûn	kwəːn（kūn）	kuːn（kūn）	kuən	kuːn	kwən	見合一魂平
踽	kʷ(r)jaʔ		qa̠ʔ	kʰwjagx⸗kwjagx	kw⁽ʴ⁾aʔ（jǔ）	kw(r)aʔ❓	kɥɑᴮ	kʷaʔ	kwá（jǔ）	kʷaʔ（jǔ）	kǐwa	kʷaʔ⸗kʰʷaʔ	kʰjwaɣ⸗kjwaɣ	溪合三C虞上⸗見合三C虞上
呱	kʷa	kʷˤa	qa	kwag	kwˁa（gū）	kwˤa	kʷɑ	kʷâ	kwaː（gū）	kʷaː（gū）	ka	kʷaː	kwaɣ	見一模平
孤	kʷa	kʷˤa		kwag	kwˁa（gū）	kwˤa	kʷɑ	kʷâ	kwaː（gū）		ka	kʷaː	kwaɣ	見一模平
過	kʷaj(s)	Cə.kʷˤaj⸗kʷˤaj⸗kʷˤaj-s	kor	kwarh	k[wˁa]i（guō）⸗k[wˁa]i（guō）⸗k[wˁa]ih（guò）	kwˤai⸗kwˤaih	kʷɑj⸗kʷɑjᶜ	kôj⸗kôjh	kwaːjh（guò）	kʷaːj（guō）	kuai⸗kuai	kloːl⸗kloːls	kwa⸗kwa	見合一歌去⸗見合一歌平
官	kʷan	kʷˤa[n]		kwan	k[wˁa]n（guān）	kwˤan	kʷɑn	kʷân	kwaːn（guān）		kuan	koːn	kwan	見合一寒平
光	kʷaŋ	kʷˤaŋ	qaŋ	kwaŋ⸗kwaŋh	kwˁaŋ（guāng）	kwˤaŋ⸗kwˤaŋh	kʷɑŋ	kʷâŋ	kwaːŋ（guāng）	kʷaːŋ（guāng）	kuaŋ	kʷaːŋ⸗kʷaːŋs	kwaŋ⸗kwaŋ	見合一唐平⸗見合一唐去
洸	kʷaŋ		qaŋ	kwaŋ⸗ʔwaŋ	kwˁaŋ（guāng）	ʔwˤaŋ⸗kwˤaŋ	kʷɑŋ	kʷâŋ	kwaːŋ（guāng）	kʷaːŋ（guāng）	kuaŋ	kʷaːŋ⸗qʷaːŋ	kwaŋ⸗ʔwaŋ	影合一唐平⸗見合一唐平
廣	kʷaŋʔ	kʷˤaŋʔ⸗kʷˤaŋʔ-s	qaŋʔ	kwaŋx	kwˁaŋʔ（guǎng）⸗kwˁaŋʔ（guǎng）	kwˤaŋʔ	kʷɑŋᴮ⸗kʷɑŋᶜ	kʷâŋʔ⸗kʷâŋh	kwáːŋ（guǎng）	kʷaːŋʔ（guǎng）	kuaŋ	kʷaːŋʔ	kwaŋ	見合一唐上
痯	kʷanʔ	kʷˤa[n]ʔ	konʔ	kwanx	k[wˁa]nʔ（guǎn）	kwˤanʔ⸗kwˤanh	kʷɑnᴮ	kʷân⸗kʷânʔ	kwáːn（guǎn）	kʷaːnʔ（guǎn）	kuan	koːnʔ⸗koːns	kwan	見合一寒上⸗見合一寒去
圭	kʷe	[k]ʷˤe	qi	kwig	kwˁɛ（guī）	kwˤe	kʷe	kʷê	kweː（guī）	kʷeː（guī）	giwe	kʷeː	kweɣ	見合四齊平
鵙	kʷek	kʷˤek	qik		kwˁɛk（jú）		kʷek	kʷêk⸗tsʰa						
鶪	kʷek	kʷˤek		kwik	kwˁɛk（jú）	kwˤek	kʷek	kʷêk		kʷeːk（jú）	kiwek	kʷeːg	kwek	見合四青入入
熲	kʷeŋʔ			kwiŋx	kwˁɛŋʔ（jiǒng）	kwˤeŋʔ	kʷeŋᴮ	kʷêŋʔ		kʷeːŋʔ（jiǒng）	kiweŋ	kʷeːŋʔ	kweŋ	見合四青上
夬	kʷet	[k]ʷˤret-s		kwradh	kwʴˁɛθ（guài）	kwrˤeth	kʷet⸗kʷas	kʷêt⸗kʷêts			koat	kʷraːds	krwar	見合二夬去
決	kʷet	[k]ʷˤet	qet		kwˁɛt（jué）⸗kwˁɛt（jué）	kwˤet⸗w̥ˤet	kʷet⸗hʷet	kʷêt⸗hʷêt	kweːt（jué）		kiwat	kʷeːd⸗qʰʷeːd	xewat	見合四先入入⸗曉合四先入入
缺	kʰʷ(j)et	Nə-[k]ʷʰˤet	qhet	kwiat⸗kʰwjiat	kʰwˁɛt（quē）	kʰwˤet⸗kʰwet	kʷʰet⸗kʰɥat	kʷʰet	kʰwet（quē）		kʰiwat⸗kʰǐwat	kʰʷed⸗kʰʷeːd	kʰewat⸗kʰjiwat	溪合三A仙入入⸗溪合四先入入
薖	kʰʷaj	kʷʰˤaj	khor		kʰ[wˁa]i（kē）	kʰ[wˤa]i❓	kʷʰɑj	kʰôj	kʰwaːj（kē）	kʰʷaːj（kē）	kʰuai	kʰloːl		溪合一歌平
廓	kʰʷak	kʷʰˤak	qhak		kʰwˁak（kuò）	kʰwˤak	kʷʰɑk	kʷʰâk	kʰwaːk（kuò）	kʰʷaːk（kuò）	kʰuak	kʰʷaːg	kʰwak	溪合一唐入入
鞹	kʰʷak		qhak	kʰwak	kʰwˁak（kuò）	kʰwˤak	kʷʰɑk	kʷʰâk	kʰwaːk（kuò）	kʰʷaːk（kuò）	kʰuak	kʰʷaːg	kʰwak	溪合一唐入入
寛	kʰʷan													
寬	kʰʷan	[k]ʷʰˤa[n]	khon	kʰwan	kʰ[wˁa]n（kuān）	kʰwˤan	kʷʰɑn	kʷʰân	kʰwaːn（kuān）	kʰʷaːn（kuān）	kʰuan	kʰoːn	kʰwan	溪合一寒平
褧	kʰʷeŋʔ	kʷʰˤeŋʔ	qhiŋʔ	kʰwiŋx	kʰwˁɛŋʔ（jiǒng）	kʰwˤeŋʔ	kʷʰeŋᴮ	kʷʰêŋʔ	kʰwéːŋ（jiǒng）		kʰiweŋ	kʰʷeːŋʔ	kʰweŋ	溪合四青上
犬	kʰʷenʔ⸗kʰʷinʔ	[k]ʷʰˤ[e][n]ʔ	qhinʔ	kʰwianx	kʰwˁ[iŋ]ʔ（quǎn）	kʰwˤinʔ	kʷʰenᴮ	kʷʰînʔ	kʰwíːn（quǎn）		kʰiwan	kʰʷeːnʔ	kʰewan	溪合四先上
壼	kʰʷɨnʔ		kunʔ	kʰwənx	kʰ[wˁə][n]ʔ（kǔn）	kʰˤunʔ	kʷʰənᴮ	kʷʰə̂nʔ		kʰuːrʔ（kǔn）		kʰuːnʔ	kʰwən	溪合一魂上
闋	kʰʷit	kʷʰˤi[t]	qhit	kʰwit	kʰwˁik（què）	kʰwˤit	kʷʰet	kʷʰît		kʰʷiːt（què）	kʰiwet	kʰʷiːd	kʰwet	溪合四先入入
筐	kʰʷjaŋ	k-pʰaŋ	qha̠ŋ	kʰwjaŋ	kʰwaŋ（kuāng）	kʰwaŋ	kʰɥɑŋ	kʷʰaŋ	kʰwaŋ（kuāng）	kʰʷaŋ（kuāng）	kʰǐwaŋ	kʰʷaŋ	kʰjwaŋ	溪合三C陽平
闕	kʰʷjat	kʷʰat	kho̠t	kʰjuat	kʰ[wa]t（què）	kʰwat	kʰɥɑt⸗gɥɑt	kʰot⸗got	kʰwat（què）	kʰʷat（què）	kʰǐwat	kʰod	kʰjwat	溪合三C元入入
窺	kʰʷje	kʷʰe	qi̠	kʰwjig	kʰwɛ（kuī）	kʰwe	kʰɥe	kʷʰe			kʰǐwe	kʰʷel	kʰjiweɣ	溪合三A支平
傾	kʰʷjeŋ	[k]ʷʰeŋ	qhi̠ŋ	kʰwjiŋ	kʰwɛŋ（qīng）	kʰweŋ	kʰɥeŋ	kʷʰeŋ	kʰweŋ（qīng）	kʰʷeŋ（qīng）		kʰʷeŋ	kʰjieŋ⸗kʰjiweŋ	溪合三A清平
丘	kʰʷjɨ	[k]ʷʰə	qhe̠	kʰjəg	kʰwə（qiū）	kʰwə	kʰu⸗kʷʰuə	kʷʰə	kʰwə（qīu）	kʰʷə（qiū）	kʰǐwə	kʰʷɯ	kʰjwəɣ	溪三C尤平
夸	kʰʷra	[kʷʰ]ˤra	qhra	kʰwrag	kʰwʴˁa（kuā）	kʰwrˤa	kʷʰa	kʷʰrâ	kʰwraː（kuā）		kʰoa	kʰʷraː	kʰrwaɣ	溪合二麻平
誇	kʰʷra	[kʷʰ]ˤra		kʰwrag	kʰwʴˁa（kuā）	kʰwrˤa	kʷʰa	kʷʰrâ⸗kʷʰrât	kʰwraː（kuā）		kʰoa	kʰʷraː	kʰrwaɣ	溪合二麻平
快	kʰʷrets	[k]ʷʰˤret-s		kʰwradh	kʰwʴˁɛθ（kuài）	kʰwrˤeth	kʷʰas	kʷʰêts	kʰwraːtɕ（kuài）		kʰoat	kʰʷraːds	kʰrwar	溪合二夬去
國	kʷɨk	[C.q]ʷˤək	qek	kwək	kwˁək（guó）	kwˤək	kʷək	kʷə̂k	kwəːk（guó）	kʷəːk（guó）	kuək	kʷɯːg	kwək	見合一登入入
肱	kʷɨŋ	[k]ʷˤəŋ	qeŋ	kwəŋ	kwˁəŋ（gōng）	kwˤəŋ	kʷəŋ	kʷə̂ŋ	kwəːŋ（gōng）	kʷəːŋ（gōng）	kuəŋ	kʷɯːŋ	kwəŋ	見合一登平
攫	kʷjak	C.qʷ(r)ak		kwjak	kwak（jué）	kwak	kɥɑk	kʷak	kwak（jué）		kǐwak	kʷag	kjwak	見合三C陽入入
規	kʷje	kʷe		kwjig	kwɛ（guī）	kwe	kɥe	kʷe	kwe（guī）		kǐwe	kʷel	kjiweɣ	見合三A支平
疚	kʷjɨ(k)s		qe̠h		kwəh（jiù）	kwəh	kuᶜ⸗kʷuəᶜ	kʷəh		kʷəh（jiù）	kǐwə	kʷlɯs	kjwəɣ	見三C尤去
歸	kʷjɨj⸗kʷjuj	[k]ʷəj	qɯ̠r	kwjəd	kui（guī）	kui	kʷi	kʷəj	kwəj（guī）	kʷəj（guī）	kǐwəi	klul⸗ktul	kjiwər	見合三C微平
癸	kʷjijʔ	kʷijʔ		kwjidx	kwiʔ（guǐ）	kwiʔ	kʷiᴮ	kʷiʔ	kwíj（guǐ）		kǐwei	kʷilʔ	kjiwer	見合三A脂上
均	kʷjin	C.qʷi[n]⸗[m-qʷ]<r>i[n]-s	qi̠n	kwjin	wʴiŋh（yùn）⸗kwiŋ（jūn）	kwin	kʷin	kʷin	kwin（jūn）	kʷin（jūn）	kǐwen	kʷin	kjiwen	見合三A真平
鈞	kʷjin	C.qʷi[n]	qi̠n	kwjin	kwiŋ（jūn）⸗kwiŋ（jūn）	kwin	kʷin	kʷin		kʷin（jūn）	kǐwen	kʷin	kjiwen	見合三A真平
弓	kʷjɨŋ	kʷəŋ	qe̠ŋ	kwjəŋ	kwəŋ（gōng）	kwəŋ	kuŋ	kʷəŋ		kʷəŋ（gōng）	kǐwəŋ	kʷɯŋ	kjwəŋ	見三C東平
橘	kʷjit	[s.k]ʷi[t]		kwjit	kwik（jú）	kwit	kʷit	kʷit	kwit（jú）		kǐwet	kʷid	kjiwet	見合三A真入入
季	kʷjits	kʷi[t]-s	qɯ̠s	kwjidh	kwih（jì）	kwih	kʷis	kʷis⸗kʷits	kwitɕ（jì）	kʷitɕ（jì）	kǐwei	kʷids	kjiwer	見合三A脂去
久	kʷjɨʔ	[k]ʷəʔ	qe̠ʔ	kjəgx	kwəʔ（jiǔ）	kwəʔ	kuᴮ⸗kʷuəᴮ	kʷəʔ		kʷəʔ（jiǔ）	kǐwə	kʷlɯʔ	kjwəɣ	見三C尤上
玖	kʷjɨʔ		qe̠ʔ	kjəgx	kwəʔ（jiǔ）	kwəʔ	kuᴮ⸗kʷuəᴮ	kʷəʔ		kʷəʔ（jiǔ）	kǐwə	kʷlɯʔ	kjwəɣ	見三C尤上
九	kʷjuʔ	[k]uʔ	ku̠ʔ	kjəgʷx	kuʔ（jiǔ）	kuʔ	kuᴮ	kuʔ⸗kʷəʔ	kwə́（jiǔ）		kǐu	kuʔ	kjəw	見三C尤上
瓜	kʷra	kʷˤra	q/l/a	kwrag	kwʴˁa（guā）	kwrˤa	kʷa	kʷrâ	kwraː（guā）	kʷraː（guā）	koa	kʷraː	krwaɣ	見合二麻平
觥	kʷraŋ	[k]ʷˤraŋ		kwraŋ	kwʴˁaŋ（gōng）	kwrˤaŋ	kʷaŋ	kʷrâŋ	kwraːŋ（gōng）	kʷraːŋ（gōng）	koaŋ	kʷraːŋ	krwaŋ	見合二庚平
寡	kʷraʔ	[C.k]ʷˤraʔ	q/l/aʔ	kwragx	kwʴˁaʔ（guǎ）	kwrˤaʔ	kʷaᴮ	kʷrâʔ	kwráː（guǎ）	kʷraːʔ（guǎ）	koa	kʷraːʔ	krwaɣ	見合二麻上
卦	kʷres	[k]ʷˤre-s		kwrigh	kwʴˁɛh（guà）	kwrˤeh	kʷɛᶜ	kʷrêh	kwreːh（guà）		kɑe	kʷreːs	krweɣ	見合二佳去
馘	kʷrɨk(s)	C.qʷˤ<r>ək	q/l/ek	kwrək	kwʴˁək（guó）	kwrˤək	kʷɛk	kʷrə̂k	kwrəːk（guó）	kʷrəːk（guó）	keək	kʷrɯːg	krwək	見合一登入入⸗見合二耕入入
鰥	kʷrɨn	[k]ʷˤrə[n]	q/l/ɯn	kwrən	kʴˁun（guān）⸗kʴˁun（guān）	krˤun⸗krˤunh	kʷɛn	kʷrə̂n	kwrəːn（guān）	kʷrəːn（guān）	koən	kruːn	krwən	見合二山平⸗見合二山去
龜	kʷrjɨ	[k]ʷə⸗[k]ʷrə	qe	kwjiəg⸗kwjəg	kwə（guī）⸗kʴu（guī）	kwə⸗kwrə	kuɨ⸗kʷɨ̯ə⸗ku	kʷrə	kwrə（guī）	kʷrə（guī）	kǐwə⸗kǐwə	kʷɯ⸗kʷrɯ	kiwəɣ⸗kjwəɣ	溪三C尤平⸗見三C尤平⸗見合三B脂平
軌	kʷrjuʔ	kʷruʔ	k/l/u̠ʔ	kwjiəgʷx	kʴuʔ（guǐ）	kruʔ	kuɨᴮ⸗kʷɨ̯əᴮ	kruʔ	krú（guǐ）	kruʔ（guǐ）	kǐu	kʷrɯwʔ	kiwəw	見合三B脂上
簋	kʷrjuʔ	kʷruʔ	k/l/u̠ʔ	kwjiəgʷx	kʴuʔ（guǐ）	kruʔ	kuɨᴮ⸗kʷɨ̯əᴮ	kruʔ	krú（guǐ）	kruʔ（guǐ）	kǐu	kʷrɯwʔ	kiwəw	見合三B脂上
荼	la	lˤra	za	dag	lʴˁa（chá）	lˤa⸗lrˤa		lâ	dɮaː（tú）	dɮaː（chá）	da	rlaː⸗ɦlja⸗l'aː	daɣ⸗draɣ	定一模平⸗澄開二麻平⸗船開三麻平
途	la	lˤa	za		lˁa（tú）	lˤa	dɑ	lâ	dɮʱaː（tú）		da	l'aː	daɣ	定一模平
塗	la	lˤa	za		lˁa（tú）⸗lˁa（tú）	lˤa⸗lrˤa	dɑ	lâ	dɮʱaː（tú）	dɮʱaː（tú）	da	rlaː⸗l'aː	daɣ	定一模平⸗澄開二麻平
沱	laj	lˤaj	zar	dar⸗rarx	lˁai（tuó）	lˤai⸗lˤaiʔ	dɑj	lâj⸗draj	l⁽ʱ⁾aːj（tuó）	l⁽ʱ⁾aːj（tuó）	dai	l'aːl⸗l'aːlʔ	da⸗da	定開一歌上⸗定開一歌平
紽	laj	lˤaj	zar	dar	lˁai（tuó）	lˤai	dɑj	lâj	l⁽ʱ⁾aːj（tuó）	lʱaːj（tuó）	dai	l'aːl	da	定開一歌平
舵	lajʔ	lˤajʔ⸗C.lˤajʔ			lˁaiʔ（duò）	lˤaiʔ	dɑjᴮ	lâjʔ	lʱáːj（duò）			l'aːlʔ		定開一歌上
度	lak(s)	[d]ˤak-s⸗[d]ˤak	dah⸗dak	dagh⸗dak	dˁah（dù）⸗dˁak（duó）	dˤak⸗dˤakh	dɑk⸗dɑᶜ	dâk⸗dâkh	daːk（dù）	d⁽ʱ⁾aːh（dù）⸗d⁽ʱ⁾aːk（duó）	da⸗dak	daːgs⸗daːg	daɣ⸗dak	定一模去⸗定開一唐入入
餤	lam		dam	dam	ɫˁam（dàn）	lˤam	dɑm⸗jam	lâm⸗lam		laːm（dàn）	dam	l'aːm	dam	定開一談平
惔	lam		dam	dam⸗damx⸗damh	[l]ˁam（tán）	lˤam⸗lˤamʔ⸗lˤamh	dɑm	lâm	l⁽ʱ⁾aːm（tán）	lʱaːm（tán）	dam⸗dam	l'aːm⸗l'aːmʔ⸗l'aːms	dam⸗dam⸗dam	定開一談上⸗定開一談去⸗定開一談平
談	lam	lˤ[o]m	dam	dam	[l]ˁam（tán）	lˤam	dɑm	lâm	lʱaːm（tán）	lʱaːm（tán）	dam	l'aːm	dam	定開一談平
蕩	laŋʔ	N.rˤaŋʔ⸗lˤaŋ-s	zaŋʔ	daŋx	lˁaŋʔ（dàng）⸗lˁaŋh（dàng）	l̥ˤaŋh⸗lˤaŋʔ	dɑŋᴮ⸗dɑŋᶜ	lâŋʔ⸗lâŋh	dɮʱáːŋ（dàng）	dɮʱaːŋʔ（dàng）	daŋ	l̥ʰaːŋs⸗l'aːŋʔ	daŋ	定開一唐上⸗端開一唐上⸗透開一唐去
大	lats	lˤat-s⸗lˤa[t]-s	sas⸗zas	dadh	[l]ˁaθ（dà）⸗[l]ˁaθ（dà）	lˤath	dɑs⸗dɑ⸗tʰɑs	dâs⸗tʰâs⸗dâts	dʱaːtɕ（dà）	dʱaːtɕ（dà）	dat⸗dai	daːds⸗daːds	dar	定開一泰去⸗定開一歌去
杜	laʔ		daʔ	dagx	[d]ˁaʔ（dù）	dˤaʔ	dɑᴮ	dâʔ	d⁽ʱ⁾áː（dù）	d⁽ʱ⁾aːʔ（dù）	da	l'aːʔ	daɣ	定一模上
稌	laʔ	l̥ˤa	sa	tʰagx	l̥ˁa（tú）⸗l̥ˁaʔ（tú）	l̥ˤa	tʰɑ⸗tʰɑᴮ⸗dɑᴮ	l̥â⸗l̥âʔ⸗lâʔ		tɬ⁽ʰ⁾aːʔ（tú）	tʰa	l̥ʰaː⸗l̥ʰaːʔ	tʰaɣ	常開三魚平⸗透一模上⸗透一模平
髢	le(k)s			digh		lˤeh	deᶜ	lêkh			diai	l'eːls	deɣ	定開四齊去
狄	lek	lˤek	zɯk	dik	[ɫ]ˁɛk（dí）	lˤek	dek	lêk	l⁽ʱ⁾eːk（dí）	l⁽ʱ⁾eːk（dí）	diek	deːg	dek	定開四青入入
恬	lem			diam		lˤem	dem	lêm			diam	l'eːm	deam	定開四添平
庭	leŋ		ziŋ	diŋ	lˁɛŋ（tíng）	lˤeŋ	deŋ⸗tʰeŋᶜ	lêŋ⸗l̥êŋh	dɮʱeːŋ（tíng）	dɮ⁽ʱ⁾eːŋ（tíng）	dieŋ	l'eːŋ	deŋ	定開四青平
霆	leŋ		ziŋ	diŋ⸗diŋx	lˁɛŋ（tíng）	lˤeŋ⸗lˤeŋʔ	deŋ	lêŋ		dɮ⁽ʱ⁾eːŋ（tíng）	dieŋ	l'eːŋ⸗l'eːŋʔ	deŋ⸗deŋ	定開四青上⸗定開四青平
蝶	lep	lˤep			ɫˁɛp（dié）	lˤep	dep	lêp	l⁽ʱ⁾eːp（dié）		diap	l̥ʰeːb⸗l'eːb	deap	定開四添入入⸗透開四添入入
翟	lewk	lˤewk	zɯk	diakʷ	lˁɛuk（dí）	lˤeuk	dek⸗dewk	ljâwk	dɮ⁽ʱ⁾eːuk（dí）	dɮ⁽ʱ⁾eːkʷ（dí）	deauk⸗diauk	r'aːwɢ⸗r'aːg⸗l'eːwɢ	deawk	定開四青入入⸗澄開二庚入入
趙	lewʔ	[d]rewʔ		drjagʷx	lʴ[a]uʔ（zhào）	dreuʔ	ɖjɑwᴮ⸗dewᴮ	drjawʔ⸗djâwʔ		d⁽ʱ⁾riwʔ（zhào）	dǐau	l'ewʔ	diaw	澄開三宵上
臺	lɨ	lˤə	de	dəg	[d]ˁə（tái）	dˤə	də	də̂	dʱəː（tái）	dʱəː（tái）	də	dɯː	dəɣ	定開一咍平
荑	lɨj	lˤəj	zir	rid⸗did	[ɫ]ˁi（tí）	lˤi⸗li	dej⸗ji	dî⸗li	lʱəːj（tí）	ləj（tí）	diei	l'iːl⸗lil	rier⸗der	以開三脂平⸗定開四齊平
螣	lɨk		zek	dəŋ	lˁək（téng）	lˤəŋ⸗lrəmʔ	dəŋ⸗dək	lə̂ŋ⸗lə̂k	dɮ⁽ʱ⁾əːŋ（téng）	dʑ⁽ʱ⁾əːk（téng）	dək	l'ɯmʔ⸗l'ɯːŋ⸗l'ɯːg	dəŋ⸗dək	定開一登入入⸗定開一登平⸗澄開三侵上
簟	limʔ	[l]ˤimʔ	zimʔ	diəmx	[l]ˁimʔ（diàn）	lˤimʔ	demᴮ	lêmʔ⸗lîmʔ	líːm（diàn）	lʱiːmʔ（diàn）	diəm	l'ɯːmʔ	deəm	定開四添上
縢	lɨŋ	lˤəŋ		dəŋ	lˁəŋ（téng）	lˤəŋ	dəŋ	lə̂ŋ			dəŋ	l'ɯːŋ	dəŋ	定開一登平
騰	lɨŋ	lˤəŋ	zeŋ	dəŋ	lˁəŋ（téng）	lˤəŋ	dəŋ	lə̂ŋ	dɮʱəːŋ（téng）	dɮʱəːŋ（téng）	dəŋ	l'ɯːŋ	dəŋ	定開一登平
瓞	lit		zit	dit	lˁik（dié）	lˤik	det	lît		dɮ⁽ʱ⁾iːt（dié）	diet	l'iːg	det	定開四先入入
棣	lɨts⸗lups⸗luts	[N].rˤəp-s	zɯrs	diəd	ɫˁəθ（dì）	lˤəph	des⸗dəs	lîs⸗lə̂s⸗lîts⸗lə̂ts	lʱəːtɕ（dì）	lʱəːtɕ（dì）	diei	l'ɯːds	der	定開四齊去
條	liw	[l]ˤiw⸗lˤiw	zɯ	diəgʷ	lˁiu（tiáo）⸗lˁiu（tiáo）	lˤiu	tʰew⸗dew	l̥jû⸗ljû⸗l̥îw⸗lîw	liːw（tiáo）	liːw（tiáo）	diu	l'ɯːw	deəw	定開四蕭平
迪	liwk		zuk	diəkʷ	lˁiuk（dí）	lˤiuk	dek⸗dewk	ljûk⸗lîwk		dɮ⁽ʱ⁾iːkʷ（dí）	diuk	l'ɯːwɢ	deəwk	定開四青入入
笛	liwk			diəkʷ		lˤiuk	dek⸗dewk	ljûk	dɮ⁽ʱ⁾iːuk（dí）		diuk	l'ɯːwɢ	deəwk	定開四青入入
滌	liwk	lˤiwk	zuk	diəkʷ	ɫˁiuk（dí）	lˤiuk	dek⸗dewk	ljûk⸗lîwk	l⁽ʱ⁾iːuk（dí）		diuk	l'ɯːwɢ	deəwk	定開四青入入
𨗹	liwk													
殆	lɨʔ	lˤəʔ	zeʔ	dəgx	lˁəʔ（dài）	lˤəʔ	dəᴮ	lə̂ʔ		dɮ⁽ʱ⁾əːʔ（dài）	də	l'ɯːʔ	dəɣ	定開一咍上
怠	lɨʔ	lˤəʔ	zeʔ	dəgx	lˁəʔ（dài）	lˤəʔ	dəᴮ	lə̂ʔ	dɮ⁽ʱ⁾ə́ː（dài）	dɮ⁽ʱ⁾əːʔ（dài）	də	l'ɯːʔ	dəɣ	定開一咍上
餘	lja	la	za̠	rag	la（yú）	la	jɑ	la	dɮa（yú）	dɮa（yú）	ʎǐa	la	riaɣ	以開三魚平
輿	lja	m-q(r)a			ɫa（yú）	la⸗lah	jɑ	la	la（yú）		ʎǐa	la⸗las	riaɣ	以開三魚去⸗以開三魚平
旟	lja		ja̠	rag	ɫa（yú）	la	jɑ	la	la（yú）	la（yú）	ʎǐa	la	riaɣ	以開三魚平
譽	lja⸗lja(s)	m-q(r)a⸗[ɢ](r)a-s⸗m-q(r)a-s	ja̠h	rag⸗ragh	ɫa（yù）⸗ɫah（yù）⸗ɫah（yù）	la⸗lah	jɑ⸗jɑᶜ	la⸗lah	la（yù）	lah（yù）	ʎǐa⸗ʎǐa	la⸗las	riaɣ⸗riaɣ	以開三魚去⸗以開三魚平
蛇	LjAj	Cə.lAj⸗laj	sar⸗za̠r⸗za̠r	rar⸗tʰar⸗djar	[l]ai（yí）⸗[ʱɫ]ai（shé）	l̥ˤai⸗lai⸗mlai	ʑa⸗ʑɑj⸗jaj	m-laj⸗laj	liaj（shé）	liaj（yí）⸗liaj（shé）	ʎǐai⸗ȡiai	l̥ʰaːl⸗ɦljaːl⸗lal	ria⸗tʰa	以開三支平⸗透開一歌平⸗船開三麻平
也	ljAj	lAjʔ	za̠rʔ	riagx	laiʔ（yě）	laʔ	jɑjᴮ	lajʔ			ʎiai	laːlʔ	raɣ	以開三麻上
移	ljaj	laj		rar	[l]ai（yí）	lai	je⸗jaj⸗jeᶜ⸗jajᶜ⸗tɕʰajᴮ	laj⸗lajh⸗k-l̥ajʔ⸗kʰlajʔ	dɮaj（yí）		ʎǐai	lal	ria	以開三支平
懌	ljAk		za̠k		lak（yì）	lak	jak⸗jɑk	lak		dɮiak（yì）	ʎiak	laːg	riak	以開三清入入
斁	ljAk		zah⸗za̠k	rak	lak（yì）	lak	jak⸗dɑᶜ⸗tɑᶜ	lak⸗lâkh⸗tâkh⸗tlâkh	dɮiak（yì）	dɮiak（yì）	da⸗ʎiak	ʔl'aːgs⸗l'aːgs⸗laːg	daɣ⸗taɣ⸗riak	以開三清入入⸗定一模去⸗端一模去
繹	ljAk		za̠k	rak	lak（yì）	lak	jak⸗jɑk	lak		dɮiak（yì）	ʎiak	laːg	riak	以開三清入入
