	MC	schuesslerLHC	schuesslerOC	zhengzhang	baxter-sagart	baxter1992	jinlixin	lifanggui	msoeg	msoegDK	starostinLO	starostinTK	wangli	zhoufagao	上古讀有
疏	生開三魚去・生開三魚平	ʂɑ	sra	sŋra・sŋras	sra	srja	sra̠	srjag・srjagh	sʴa（shū）	sra・srah	sra（shū）		ʃǐa・ʃǐa	siaɣ・siaɣ	✓
踈	生開三魚去・生開三魚平	ʂɑ											ʃǐa	siaɣ	✓
㫹	生開三魚去														
䟽	生開三魚去・生開三魚平														
廬	來開三魚平	ljɑ	ra	ra	[r]a	C-rja	ra̠	ljag	ɹa（lú）	ra	r⁽ʱ⁾a（lú）	r⁽ʱ⁾a（lú）	lǐa	liaɣ	✓
櫚	來開三魚平			ra						ra					✓
爈	來開三魚平			ra・ras						ra					✓
璷	來開三魚平			ɦb·ra											✓
臚	來開三魚平	ljɑ	ra	b·ra				ljag		ra			lǐa	liaɣ	✓
藘	來開三魚平			ra	[r]a	C-rja	ra̠		ɹa（lǘ）	ra	r⁽ʱ⁾a（lǘ）	r⁽ʱ⁾a（lǘ）	lǐa		✓
閭	來開三魚平	ljɑ	ra	ra						ra			lǐa	liaɣ	✓
驢	來開三魚平	ljɑ	ra	b·ra				ljag		ra			lǐa	liaɣ	✓
㠠	來開三魚平									ra					✓
䕡	來開三魚平									ra					✓
䮉	來開三魚平														
𢣻	來開三魚平									ra					✓
𤁵	來開三魚平									ra					✓
𥶆	來開三魚平									ra					✓
侣	來開三魚上	ljɑᴮ	raʔ	raʔ											✓
侶	來開三魚上									raʔ			lǐa	liaɣ	✓
儢	來開三魚上	ljɑᴮ	raʔ	raʔ	[r]aʔ			ljagx	ɹaʔ（lǚ）	raʔ❓	r⁽ʱ⁾á（lǚ）			liaɣ	✓
吕	來開三魚上	ljɑᴮ	raʔ	g·raʔ					ɹaʔ（lǚ）						✓
呂	來開三魚上				[r]aʔ	g-rjaʔ		gljagx	ɹaʔ（lǚ）	raʔ	rʱá（lǚ）		lǐa	liaɣ	✓
旅	來開三魚上	ljɑᴮ	raʔ	g·raʔ	[r]aʔ	g-rjaʔ	ra̠ʔ	gljagx	ɹaʔ（lǚ）	raʔ	rá（lǚ）	raʔ（lǚ）	lǐa	liaɣ	✓
梠	來開三魚上	ljɑᴮ	raʔ	raʔ				gljagx		raʔ				liaɣ	✓
祣	來開三魚上			raʔ						raʔ					✓
穭	來開三魚上			raʔ											✓
絽	來開三魚上			raʔ						raʔ					✓
膂	來開三魚上	ljɑᴮ	raʔ	g·raʔ				gljagx		raʔ			lǐa	liaɣ	✓
郘	來開三魚上	ljɑᴮ	raʔ	raʔ						raʔ				liaɣ	✓
鋁	來開三魚上	ljɑᴮ	raʔ												✓
㭚	來開三魚上									raʔ					✓
𢈚	來開三魚上									raʔ					✓
𥰠	來開三魚上									raʔ					✓
勴	來開三魚去	ljɑᶜ	rah	ras				ljagh		rah					✓
慮	來開三魚去	ljɑᶜ	rah	ras	[r]a-s		ra̠ʔ	ljagh	ɹah（lǜ）	rah			lǐa	liaɣ	✓
櫖	來開三魚去・來開三魚平			ra・ras				ljag		ra・rah					✓
濾	來開三魚去	ljɑᶜ	rah	ras											✓
鑢	來開三魚去	ljɑᶜ	rah	ras				ljagh		rah			lǐa	liaɣ	✓
𠣊	來開三魚去									rah				liaɣ	✓
𡾅	來開三魚去									rah					✓
𥶌	來開三魚去									rah					✓
𦊼	來開三魚去														
𩥆	來開三魚去														
沮	精開三魚平・莊開三魚平・精開三魚去・清開三魚平・從開三魚上	dzjɑᴮ・tsjɑᶜ	dzaʔ・tsah	ʔsa・ʔsas・sha・zaʔ・ʔsra	[dz]aʔ	dzjaʔ・ts⁽ʰ⁾ja	ȶa̠h・ȶha̠	tsʰjag・tsjag・tsrjag・dzjagx・tsjagh	dʒaʔ（jǔ）・tʃa（jū）	tsa・tsah・tsra・tsʰa・dzaʔ	tsah（jù）	tɕa（jū）	tsǐa・dzǐa・tsǐa	tsʰjaɣ・tsjaɣ・tsiaɣ・dzjaɣ・tsjaɣ	✓
蛆	精開三魚平・清開三魚平	tsjɑ	tsa	ʔsa・sha				tsʰjag		tsa・tsʰa			tsʰǐa	tsʰjaɣ	✓
咀	精開三魚上・從開三魚上・影開二刪入	dzjɑᴮ	dzaʔ	ʔsaʔ・zaʔ				dzjagx・tsjagx		tsaʔ・dzaʔ			dzǐa・tsǐa	dzjaɣ・tsjaɣ	✓
岨	清開三魚平	tsʰjɑ	tsʰa	sha	[tsʰ]a			tsʰjag	tʃʰa（qū）	tsʰa	tsʰa（qū）			tsʰjaɣ	✓
狙	清開三魚平	tsʰjɑ	tsʰa	sha・shas				tsʰjag		tsʰa			tsʰǐa	tsʰjaɣ	✓
疽	清開三魚平	tsʰjɑ	tsʰa	sha				tsʰjag		tsʰa			tsʰǐa	tsʰjaɣ	✓
砠	清開三魚平	tsʰjɑ	tsʰa	sha	[tsʰ]a	tshja	ȶha̠		tʃʰa（jū）	tsʰa	tsʰa（jū）	tɕʰa（jū）	tsʰǐa	tsʰjaɣ	✓
蒩	清開三魚平・精一模上・精一模平	tsɑ・tsjɑ・tsʰjɑ	tsâ・tsa・tsʰa	ʔsaː・ʔsaːʔ・sha				tsag・tsagx		tsˤa・tsˤaʔ・tsʰa				tsʰjaɣ・tsaɣ・tsaɣ	✓
趄	清開三魚平			shjaːs・sha				tsʰjag		tsʰa			tsʰǐa	tsʰjaɣ	✓
雎	清開三魚平	tsʰjɑ	tsʰa	sha	[tsʰ]a		ȶha̠	tsʰjag	tʃʰa（jū）	tsʰa	tsʰa（jū）		tsʰǐa	tsʰjaɣ	✓
䢸	清開三魚平							tsʰjag		tsʰa				tsʰjaɣ	✓
𡳆	清開三魚平									tsʰa					✓
𣻐	清開三魚平							tsʰjag		tsʰa				tsʰjaɣ	✓
𥅗	清開三魚上														
刞	清開三魚去			shas						tsʰah					✓
坥	清開三魚去・清開三魚平			sha・shas				tsʰjagh		tsʰa・tsʰah				tsʰjaɣ・tsʰjaɣ	✓
覰	清開三魚去			shas				tsʰjagh		tsʰah			tsʰǐa	tsʰjaɣ	✓
覷	清開三魚去			shas											✓
䁦	清開三魚去									tsʰah					✓
䏣	清開三魚去・清開三魚平									tsʰa・tsʰah					✓
怚	從開三魚上・精開三麻平・精開三魚去			ʔsjaː・ʔsas・zaʔ				tsjiag・dzjagx・tsjagh		tsa・tsah・dzaʔ			tsǐa	tsjiaɣ・dzjaɣ・tsjaɣ	✓
袓	從開三魚上・精開三麻平			ʔsjaː・zaʔ				tsjiag・dzjagx		tsa・dzaʔ				tsjiaɣ・dzjaɣ	✓
跙	從開三魚上			zaʔ						dzaʔ					✓
𧽟	從開三魚上														
揟	心開三魚平			sŋa				sjag		sa				sjaɣ	✓
䈝	心開三魚平									sa					✓
䱬	心開三魚平							sjag		sa				sjaɣ	✓
楈	心開三魚上・心開三魚平			sŋa・sŋaʔ				sjag・sjagx		sa・saʔ				sjaɣ・sjaɣ	✓
湑	心開三魚上・心開三魚平	sɑᴮ	sraʔ	sŋa・sŋaʔ	s-raʔ	sŋjaʔ	ɕa̠	sjag・sjagx	saʔ（xǔ）	sa・saʔ	sá（xǔ）	saʔ（xǔ）	sǐa	sjaɣ・sjaɣ	✓
稰	心開三魚上・心開三魚平	sjɑᴮ	saʔ	sŋa・sŋaʔ				sjagx		sa・saʔ				sjaɣ	✓
糈	心開三魚上・生開三魚上	sjɑᴮ・ʂɑᴮ	saʔ・sraʔ	sŋaʔ・sŋraʔ				sjagx・srjagx		saʔ・sraʔ			sǐa	sjaɣ・siaɣ	✓
胥	心開三魚上・心開三魚平	sjɑ	sa	sŋa・sŋaʔ		sŋja	ɕa̠	sjag・sjagx	sa（xū）	sa・saʔ	sa（xū）	sa（xū）	sǐa・sǐa	sjaɣ・sjaɣ	✓
諝	心開三魚上・心開三魚平	sjɑᴮ	saʔ	sŋa・sŋaʔ				sjag・sjagx		sa・saʔ			sǐa	sjaɣ・sjaɣ	✓
醑	心開三魚上			sŋaʔ						saʔ			sǐa		✓
㥠	心開三魚上・心開三魚平							sjag・sjagx		sa・saʔ				sjaɣ・sjaɣ	✓
𥚩	心開三魚上									saʔ					✓
俆	邪開三魚平			lja				sdjag		sla				rjaɣ	✓
徐	邪開三魚平	zjɑ	s-la	lja	sə.la		za̠	sdjag	l̃a（xú）	sla			zǐa	rjaɣ	✓
䍱	邪開三魚平									sla					✓
嶼	邪開三魚上			ljaʔ						slaʔ			zǐa		✓
序	邪開三魚上	zjɑᴮ	s-laʔ	ljaʔ	[sə.l]aʔ	zljaʔ	za̠ʔ		l̃aʔ（xù）	slaʔ	lʱá（xù）		zǐa	rjaɣ	✓
敘	邪開三魚上	zjɑᴮ	s-laʔ		s-m-taʔ			rjagx	l̃aʔ（xù）	slaʔ	lʱá（xù）		zǐa	rjaɣ	✓
漵	邪開三魚上			ljaʔ						slaʔ					✓
緒	邪開三魚上	zjɑᴮ	s-laʔ	ljaʔ	s-m-taʔ	zjaʔ		rjagx	l̃aʔ（xù）	sdaʔ	lʱá（xù）		zǐa	rjaɣ	✓
鱮	邪開三魚上	zjɑᴮ	s-laʔ	ljaʔ		zljaʔ	jaʔ	rjagx	ɫ͂aʔ（xù）	slaʔ		lʱaʔ（xù）	zǐa	rjaɣ	✓
𥎗	邪開三魚上									slaʔ					✓
𨣦	邪開三魚上									slaʔ					✓
𡲁	邪開三魚去														
櫧	章開三魚平			tja						ta					✓
蠩	章開三魚平			tja						ta					✓
諸	章開三魚平・章開三麻平	tɕɑ	ta	tjaː・tja	ta	tja	ta̠	tjag	ta（zhū）・ta（zhū）	ta	ta（zhū）		ȶǐa	tjaɣ	✓
㶆	章開三魚平									ta					✓
䃴	章開三魚平									ta					✓
渚	章開三魚上	tɕɑᴮ	taʔ	tjaʔ	taʔ	tjaʔ	ta̠ʔ	tjagx	taʔ（zhǔ）	taʔ	tá（zhǔ）	taʔ（zhǔ）	ȶǐa	tjaɣ	✓
煑	章開三魚上			tjaʔ	[t]aʔ			tjagx	taʔ（zhǔ）	taʔ			ȶǐa	tjaɣ	✓
煮	章開三魚上	tɕɑᴮ	taʔ	tjaʔ	[t]aʔ				taʔ（zhǔ）		tá（zhǔ）				✓
陼	章開三魚上	tɕɑᴮ	taʔ	tjaʔ	taʔ			tjagx	taʔ（zhǔ）	taʔ			ȶǐa	tjaɣ	✓
䰞	章開三魚上				[t]aʔ				taʔ（zhǔ）	taʔ				tjaɣ	✓
翥	章開三魚去			tjas				tjagh					ȶǐa	tjaɣ	✓
㫂	章開三魚去														
䘄	章開三魚去														
䬡	章開三魚去														
䭖	章開三魚去														
𡻠	章開三魚去														
𢉙	章開三魚去														
𤳐	章開三魚去														
𤳯	章開三魚去														
杵	昌開三魚上	tɕʰɑᴮ	tʰaʔ	ŋ̥ʰjaʔ	t.qʰaʔ	HŊjaʔ		kʰrjagx	ʰɫaʔ（chǔ）	[t-ŋ]aʔ	tʰá（chǔ）		ȶʰǐa	tʰjaɣ	✓
處	昌開三魚上・昌開三魚去	tɕʰɑᴮ・tɕʰɑᶜ	k-hlaʔ・k-hlah	kʰljaʔ・kʰljas	t.qʰaʔ・t.qʰaʔ-s	Kᴴjas・Kᴴjaʔ	tha̠h・tha̠ʔ	kʰrjagx・kʰrjagh	ʰɫaʔ（chǔ）・ʰɫah（chù）	kʰlaʔ・kʰlah	tʰá（chǔ）	tʰaʔ（chǔ）	ȶʰǐa・ȶʰǐa	tʰjaɣ・tʰjaɣ	✓
䖏	昌開三魚去									kʰlah					✓
稌	常開三魚平・透一模上・透一模平	tʰɑ・tʰɑᴮ・dɑᴮ	l̥â・l̥âʔ・lâʔ	l̥ʰaː・l̥ʰaːʔ	l̥ˤa	laʔ	sa	tʰagx	l̥ˁa（tú）・l̥ˁaʔ（tú）	l̥ˤa		tɬ⁽ʰ⁾aːʔ（tú）	tʰa	tʰaɣ	✓
蜍	常開三魚平・以開三魚平			ɦlja・dja・la						la					✓
𧄔	常開三魚平・章開三魚平									ta					✓
墅	常開三魚上	jaᴮ・dʑɑᴮ	laʔ・daʔ	ɦljaːʔ・djaːʔ				djagx					ʑǐa	djaɣ	✓
曙	常開三魚去	dʑɑᶜ	dah・djah	djas						dah❓			ʑǐa	djaɣ	✓
糬	常開三魚去														
署	常開三魚去	dʑɑᶜ	dah・dakh	djas	m-taʔ-s			djagh	dah（shǔ）	dah❓	d⁽ʱ⁾ah（shǔ）		ʑǐa	djaɣ	✓
薯	常開三魚去			djas						dah❓					✓
藷	常開三魚去・章開三魚平			tja・djas				tjag・djagh		ta・dah❓			ʑǐa	tjaɣ・djaɣ	✓
書	書開三魚平	ɕɑ	l̥a	hlja	s-ta	stja	sta̠	stʰjag	[l̥]a（shū）	sta	ta（shū）	ta（shū）	ɕǐa	stʰjaɣ	✓
瑹	書開三魚平			hlja						l̥a				stʰjaɣ	✓
紓	書開三魚平・船開三魚上	ɕɑ・ʑɑ	l̥a・mla	hlja・ɦljaʔ	l̥a・Cə.laʔ	hlja		stʰjag・djagx	[l̃]aʔ（shū）・l̥a（shū）	l̥a	l̥a（shū）	tɬʰa（shū）	ɕǐa・ȡǐa	stʰjaɣ・zdjaɣ	✓
舒	書開三魚平	ɕɑ	l̥a	hlja	l̥a	hlja	sa̠	stʰjag	l̥a（shū）	l̥a	l̥a（shū）	tɬʰa（shū）	ɕǐa	stʰjaɣ	✓
鵨	書開三魚平			hljaː						l̥a					✓
𦺗	書開三魚平									l̥a					✓
𨛭	書開三魚平									l̥a					✓
暑	書開三魚上	ɕɑᴮ	l̥aʔ	hjaʔ	s-tʰaʔ	stjaʔ	sta̠ʔ	stʰjagx	[l̥]aʔ（shǔ）	staʔ	tá（shǔ）	taʔ（shǔ）	ɕǐa	stʰjaɣ	✓
癙	書開三魚上	ɕɑᴮ	n̥aʔ	hljaʔ	[l̥]aʔ		sa̠ʔ	hrjagx	[l̥]aʔ（shǔ）	l̥aʔ	tɬá（shǔ）		ɕǐa	stʰjaɣ	✓
黍	書開三魚上	ɕɑᴮ	n̥aʔ・rî	hljaʔ	s-tʰaʔ	hjaʔ	sa̠ʔ	hrjagx	[l̥]aʔ（shǔ）	l̥aʔ	l̥á（shǔ）	slaʔ（shǔ）	ɕǐa	stʰjaɣ	✓
鼠	書開三魚上	ɕɑᴮ・tɕʰɑᴮ	n̥aʔ	hljaʔ	[l̥]aʔ	hjaʔ	sa̠ʔ	hrjagx	[l̥]aʔ（shǔ）	l̥aʔ	tɬʰá（shǔ）	tɬaʔ（shǔ）	ɕǐa	stʰjaɣ	✓
䑕	書開三魚上														
𧑓	書開三魚上									l̥aʔ					✓
庶	書開三魚去・章開三魚去	ɕɑᶜ・tɕɑᶜ	l̥ah・l̥akh・tʰlah・tʰlakh・tah・takh	hljags	s-tak-s	stjaks	sta̠h	stʰjagh	[l̥]ah（shù）	stakh	tah（shù）	tah（shù）	ɕǐa	stʰjaɣ・tjaɣ	✓
恕	書開三魚去	ɕɑᶜ	n̥ah	hnjas	n̥a-s	hnjas		hnjagh	n̥ah（shù）	n̥ah	n̥ah（shù）		ɕǐa	stʰjaɣ	✓
樜	書開三魚去・章開三麻去			tjaːgs・hljags						takh・stakh					✓
㵂	書開三魚去									stakh					✓
抒	船開三魚上・邪開三魚上	ʑɑᴮ	m-laʔ	ljaʔ・hlja・ɦljaʔ	Cə-laʔ	Ljaʔ		rjagx・djagx	[l̃]aʔ（shū）	slaʔ			ȡǐa	rjaɣ・zdjaɣ	✓
如	日開三魚平・日開三魚去	ȵɑ・ȵɑᶜ	na・nah	nja・njas	na	nja	na̠	njag・njagh	na（rú）・na（rú）	na・nah	na（rú）		ȵǐa	njaɣ・njaɣ	✓
蕠	日開三魚平			nja						na					✓
銣	日開三魚平														
鴽	日開三魚平	ȵɑ	na	nja						na				njaɣ	✓
𥨲	日開三魚平														
𨚴	日開三魚平							njag		na				njaɣ	✓
𨾵	日開三魚平							njag		na				njaɣ	✓
汝	日開三魚上	ȵɑᴮ	naʔ	njaʔ	naʔ	njaʔ	na̠ʔ	njagx	naʔ（rǔ）	naʔ	nʱá（rǔ）		ȵǐa	njaɣ	✓
肗	日開三魚上			njaʔ						naʔ					✓
茹	日開三魚上・日開三魚去・日開三魚平	ȵɑ・ȵɑᶜ・ȵɑᴮ	na・nah・naʔ	nja・njaʔ・njas	naʔ・na-s・naʔ-s	njas・njaʔ	na̠h・na̠	njag・njagx・njagh	naʔ（rú）・nah（rú）・nah（rú）	na・naʔ・nah	n⁽ʱ⁾a（rú）	n⁽ʱ⁾aʔ（rú）	ȵǐa・ȵǐa	njaɣ・njaɣ・njaɣ	✓
㼋	日開三魚上・見一模平									naʔ・kˤa					✓
𪏮	日開三魚上									naʔ					✓
洳	日開三魚去・日開三魚平	ȵɑ・ȵɑᶜ	na・nah	nja・njas	na・na-s	njas	na̠h		na（rú）・nah（rù）	na・nah	n⁽ʱ⁾a（rù）	n⁽ʱ⁾ah（rù）	ȵǐa	njaɣ・njaɣ	✓
予	以開三魚平・以開三魚上	jɑᴮ	laʔ	la・laʔ	laʔ	ljaʔ	za̠	rag・ragx	la（yú）・laʔ（yǔ）	laʔ	dɮa（yú）	laʔ（yǔ）	ʎǐa・ʎǐa	riaɣ・riaɣ	✓
伃	以開三魚平			la											✓
余	以開三魚平・常開三麻平	jɑ	la	la	la	ljaʔ	za̠	rag	la（yú）	la	dɮa（yú）		ʎǐa・ʑia	riaɣ	✓
妤	以開三魚平			la									ʎǐa		✓
嬩	以開三魚平			la				rag		la				riaɣ	✓
擧	以開三魚平			la				rag		la				riaɣ	✓
旟	以開三魚平	jɑ	la	la		lja	ja̠	rag	ɫa（yú）	la	la（yú）	la（yú）	ʎǐa	riaɣ	✓
狳	以開三魚平			la						la					✓
璵	以開三魚平	jɑ	la	la				rag		la			ʎǐa	riaɣ	✓
畬	以開三魚平・書開三麻平	jɑ・ɕa	la・hja	hljaː・la			za̠	rag・stʰjiag		l̥a❓・la	dɮa（yú）		ʎǐa・ɕia	riaɣ・stʰjiaɣ	✓
舁	以開三魚平	jɑ	la	la	m-q(r)aʔ			rag	ɫaʔ（yú）	la	la（yú）		ʎǐa	riaɣ	✓
艅	以開三魚平	jɑ	la	la						la				riaɣ	✓
雓	以開三魚平			la				rag		la				riaɣ	✓
餘	以開三魚平	jɑ	la	la	la	lja	za̠	rag	la（yú）	la	dɮa（yú）	dɮa（yú）	ʎǐa	riaɣ	✓
鵌	以開三魚平・定一模平			l'aː・la				rag・dag		lˤa・la				riaɣ・daɣ	✓
㶛	以開三魚平							rag		la				riaɣ	✓
㺞	以開三魚平									la					✓
𤄕	以開三魚平														
𤰩	以開三魚平														
𧾚	以開三魚平							rag		la				riaɣ	✓
与	以開三魚上	jɑᴮ	laʔ	laʔ	m-q(r)aʔ			ragx	ɫaʔ（yǔ）	laʔ			ʎǐa	riaɣ	✓
歟	以開三魚上・以開三魚去・以開三魚平	jɑ	la	la・laʔ・las				rag・ragx・ragh		la・laʔ・lah	lʱa（yú）		ʎǐa・ʎǐa	riaɣ・riaɣ・riaɣ	✓
與	以開三魚上・以開三魚去・以開三魚平	jɑᴮ・jɑᶜ・jɑ	laʔ・lah・jah・la	la・laʔ・las	m-q(r)aʔ・ɢ(r)aʔ-s	ljaʔ	ja̠・ja̠ʔ	rag・ragx・ragh	ɫaʔ（yǔ）・ɫah（yù）	la・laʔ・lah	lá（yǔ）	laʔ（yǔ）	ʎǐa・ʎǐa	riaɣ・riaɣ・riaɣ	✓
㦛	以開三魚上・以開三魚平							rag・ragx		la・laʔ				riaɣ・riaɣ	✓
𢌱	以開三魚上									laʔ					✓
忬	以開三魚去			las						lah					✓
悆	以開三魚去	jɑᶜ	lah	las				ragh						riaɣ	✓
悇	以開三魚去・徹開三魚去・透一模平			l̥ʰaː・l̥ʰas・las						l̥ˤa					✓
澦	以開三魚去			las						lah					✓
礜	以開三魚去			las				ragh		lah				riaɣ	✓
穥	以開三魚去			las						lah					✓
蕷	以開三魚去			las						lah					✓
藇	以開三魚去・心開三魚平・邪開三魚上・以開三魚平・以開三魚上	zjɑᴮ・jɑᴮ	s-laʔ・laʔ	sla・ljaʔ・la・laʔ・las		zljaʔ	jaʔ		ɫaʔ（yǔ）	sa・la・laʔ・lah・slaʔ		lʱaʔ（yǔ）	zǐa	riaɣ・rjaɣ	✓
譽	以開三魚去・以開三魚平	jɑ・jɑᶜ	la・lah	la・las	m-q(r)a・[ɢ](r)a-s・m-q(r)a-s	lja・lja(s)	ja̠h	rag・ragh	ɫa（yù）・ɫah（yù）・ɫah（yù）	la・lah	la（yù）	lah（yù）	ʎǐa・ʎǐa	riaɣ・riaɣ	✓
豫	以開三魚去	jɑᶜ	lah	las	laʔ-s	ljas	za̠h	ragh	lah（yù）・lah（yù）	lah	lah（yù）	laʔh（yù）	ʎǐa	riaɣ	✓
輿	以開三魚去・以開三魚平	jɑ	la	la・las	m-q(r)a	lja			ɫa（yú）	la・lah	la（yú）		ʎǐa	riaɣ	✓
預	以開三魚去			las						lah			ʎǐa		✓
鸒	以開三魚去・以開三魚平	jɑᶜ	lah	la・las	m-q(r)a-s		ja̠h	rag・ragh	ɫah（yù）	la・lah	lah（yù）		ʎǐa	riaɣ・riaɣ	✓
𡒊	以開三魚去									lah					✓
𡱣	以開三魚去・邪開三魚上・邪開三魚去							rjagx・ragh		lah・slaʔ				rjaɣ・riaɣ	✓
𣝑	以開三魚去									lah					✓
𩦡	以開三魚去・以開三魚平							rag・ragh		la・lah				riaɣ・riaɣ	✓
𪋮	以開三魚去・以開三魚平							rag・ragh		la・lah				riaɣ・riaɣ	✓
伕	幫三C虞平														
呋	幫三C虞平														
夫	幫三C虞平・並三C虞平	pʷɑ・bʷɑ	pa	pa・ba	p(r)a・[b]a・ba	p(r)ja	pa̠	bjag・pjag	b⁽ʴ⁾a（fú）・b⁽ʴ⁾a（fú）・p⁽ʴ⁾a（fū）	p(r)a・b(r)a	pa（fū）	pa（fū）	bǐwa・pǐwa	bjwaɣ・pjwaɣ	✓
妋	幫三C虞平・影三C尤平			pa・qu						p(r)a					✓
柎	幫三C虞平	pʷo・bʷoᶜ・boᶜ	po・boh・bôh	po			po̠	pjug		p(r)o				pjew	✓
玞	幫三C虞平			pa						p(r)a			pǐwa		✓
肤	幫三C虞平			pa						p(r)a					✓
膚	幫三C虞平	pʷɑ	pra	pla	pra	prja	pra̠		pɹa（fū）	pra	pra（fū）	pra（fū）	pǐwa	pjwaɣ	✓
衭	幫三C虞平			pa				pjag		p(r)a				pjwaɣ	✓
趺	幫三C虞平			pa						p(r)a			pǐwa		✓
邞	幫三C虞平			pa				pjag		p(r)a				pjwaɣ	✓
鈇	幫三C虞平	pʷɑ	pa	pa	p(r)aʔ			pjag	p⁽ʴ⁾aʔ（fǔ）	p(r)a	pa（fū）		pǐwa	pjwaɣ	✓
鳺	幫三C虞平			pa						p(r)a					✓
㠸	幫三C虞平									p(r)a					✓
䃿	幫三C虞平									p(r)a					✓
䄮	幫三C虞平									p(r)a					✓
𧀴	幫三C虞平									pra					✓
𩵩	幫三C虞平							pjag		p(r)a				pjwaɣ	✓
𩿧	幫三C虞平									p(r)o					✓
俌	幫三C虞上・滂三C虞上			paʔ・pʰaʔ				pjagx		p(r)aʔ				pjwaɣ	✓
俯	幫三C虞上	pʷoᴮ	poʔ	poʔ・mpoʔ						p(r)oʔ			pǐwɔ		✓
府	幫三C虞上	pʷoᴮ	poʔ	poʔ	p(r)oʔ			pjugx	p⁽ʴ⁾ɔʔ（fǔ）	p(r)oʔ	pó（fǔ）			pjew	✓
斧	幫三C虞上	pʷɑᴮ	paʔ	paʔ	p(r)aʔ		pa̠ʔ	pjagx	p⁽ʴ⁾aʔ（fǔ）	p(r)aʔ	pá（fǔ）		pǐwa	pjwaɣ	✓
甫	幫三C虞上	pʷɑᴮ	paʔ	paʔ	p(r)aʔ・praʔ	p(r)jaʔ	pa̠ʔ	pjagx	p⁽ʴ⁾aʔ（fǔ）・p⁽ʴ⁾aʔ（fǔ）	p(r)aʔ	pá（fǔ）	paʔ（fǔ）	pǐwa	pjwaɣ	✓
簠	幫三C虞上・幫三C虞平・滂三C虞去	pʷɑᴮ・pʷɑᶜ	pa・paʔ・pah	pa・paʔ・pʰas	p(r)aʔ			pjagx	p⁽ʴ⁾aʔ（fǔ）	p(r)aʔ・pʰ(r)ah	pa（fǔ）		pǐwɔ	pjwaɣ・pjwaɣ	✓
脯	幫三C虞上	pʷɑᴮ	paʔ	baː・paʔ	p(r)aʔ	p(r)jaʔ	pa̠ʔ	pjagx	p⁽ʴ⁾aʔ（fǔ）	p(r)aʔ	pá（fǔ）	paʔ（fǔ）	pǐwa	pjwaɣ	✓
腑	幫三C虞上			poʔ						p(r)oʔ			pǐwɔ	pjew	✓
莆	幫三C虞上	pʷɑᴮ	paʔ	paʔ				pjagx		p(r)aʔ			pǐwa	pjwaɣ	✓
郙	幫三C虞上・滂三C虞平			paʔ・pʰa				pjagx		p(r)aʔ・pʰ(r)a				pjwaɣ	✓
頫	幫三C虞上・透開四蕭去	tʰewᶜ	l̥jâwh	l̥ʰeːws・poʔ						l̥ˤeuh				tʰeaw	✓
黼	幫三C虞上	pʷɑᴮ	paʔ	paʔ		p(r)jaʔ	pa̠ʔ	pjagx	p⁽ʴ⁾aʔ（fǔ）	p(r)aʔ	pá（fǔ）	paʔ（fǔ）		pjwaɣ	✓
𥒰	幫三C虞上									p(r)aʔ					✓
𧉊	幫三C虞上									p(r)aʔ					✓
付	幫三C虞去	pʷoᶜ	poh	pos・poʔ	p(r)o-s			pjugh	p⁽ʴ⁾ɔh（fù）	p(r)oh			pǐwɔ	pjew	✓
傅	幫三C虞去	pʷɑᶜ・bʷɑᶜ	pah・bah	pags	[b](r)[a]-s・p(r)a(ʔ)-s		pa̠h	pjagh	b⁽ʴ⁾ah（fù）・p⁽ʴ⁾ah（fù）	p(r)ah	p(r)ah（fù）		pǐwa	pjwaɣ	✓
咐	幫三C虞去			pos											✓
賦	幫三C虞去	pʷɑᶜ	pah	mpas	p(r)a-s	p(r)jas	sma̠h	pjagh	p⁽ʴ⁾ah（fù）・p⁽ʴ⁾ah（fù）	p(r)ah	pah（fù）	pah（fù）	pǐwa	pjwaɣ	✓
陚	幫三C虞去			mpas				pjagh		p(r)ah				pjwaɣ	✓
𩬙	幫三C虞去・幫三C虞平							pjugh		p(r)o・p(r)oh				pjew	✓
俘	滂三C虞平	pʰu	pʰu	pʰuw						pʰ(r)u			pʰǐu	pʰjwəw	✓
姇	滂三C虞平			pʰo						pʰ(r)o					✓
孚	滂三C虞平	pʰu	pʰu	pʰuw		pʰ(r)ju	phru̠		pʰu（fú）	pʰ(r)u	pʰo（fú）	pʰu（fú）	pʰǐu	pʰjwəw	✓
孵	滂三C虞平			pʰuw						pʰ(r)u					✓
尃	滂三C虞平	pʷʰɑ	pʰa	pʰa				pʰjag		pʰ(r)a				pʰjwaɣ	✓
怤	滂三C虞平			pʰo				pʰjug		pʰ(r)o				pʰjew	✓
敷	滂三C虞平	pʷʰɑ	pʰa	pʰa	pʰ(r)a		pha̠	pʰjag	pʰ⁽ʴ⁾a（fū）	pʰ(r)a	pʰ(r)a（fū）		pʰǐwa	pʰjwaɣ	✓
稃	滂三C虞平			pʰuw						pʰ(r)u				pʰjwəw	✓
筟	滂三C虞平			pʰuw						pʰ(r)u				pʰjwəw	✓
紨	滂三C虞平			pʰo				pʰjug		pʰ(r)o				pʰjew	✓
郛	滂三C虞平	pʰu	pʰu	pʰuw						pʰ(r)u			pʰǐu	pʰjwəw	✓
麩	滂三C虞平			pʰa				pʰjag					pʰǐwa	pʰjwaɣ	✓
麱	滂三C虞平			pʰa						pʰ(r)a					✓
