	MC	schuesslerLHC	schuesslerOC	zhengzhang	baxter-sagart	baxter1992	jinlixin	lifanggui	msoeg	msoegDK	starostinLO	starostinTK	wangli	zhoufagao	上古讀有
弄	來一東去	loŋᶜ	rôŋh	roːŋs	[r]ˤoŋ-s		loŋ	luŋh	ɹˁɔŋh（nòng）	rˤoŋh	roːŋh（lòng）		lɔŋ	lewŋ	✓
挵	來一東去														
梇	來一東去			roːŋs				luŋh		rˤoŋh				lewŋ	✓
礱	來一東去・來一東平	loŋ	rôŋ	roːŋ・roːŋs				luŋ		rˤoŋ・rˤoŋh			lɔŋ	lewŋ	✓
㢅	來一東去									rˤoŋh					✓
㳥	來一東去									rˤoŋh					✓
𢙱	來一東去									rˤoŋh					✓
娽	來一東入・來三鍾入			roːg・rog				luk・ljuk		rˤok・rok				lewk・liewk	✓
廘	來一東入			roːg						rˤok					✓
彔	來一東入				pə.rˤok			luk	ɹˁɔk（lù）	rˤok				lewk	✓
录	來一東入	lok	rôk	b·roːg		b-rok・C-rok			ɹˁɔk（lù）						✓
摝	來一東入	lok	rôk	roːg				luk		rˤok				lewk	✓
淥	來一東入・來三鍾入									rˤok・rok			lǐwɔk		✓
渌	來一東入・來三鍾入			roːg・rog											✓
漉	來一東入	lok	rôk	roːg				luk		rˤok			lɔk	lewk	✓
琭	來一東入	lok	rôk	roːg	[r]ˤok			luk	ɹˁɔk（lù）	rˤok	rʱoːk（lù）			lewk	✓
甪	來一東入														
盝	來一東入	lok	rôk	roːg	[r]ˤok				ɹˁɔk（lù）	rˤok				lewk	✓
睩	來一東入	lok	rôk	roːg	[r]ˤok			luk	ɹˁɔk（lù）	rˤok				lewk	✓
碌	來一東入・來三鍾入			roːg・rog						rˤok・rok			lɔk		✓
磟	來一東入・來三東入			ruːwɢ・rɯwɢ						riuk					✓
祿	來一東入		rôk		[r]ˤok			luk	ɹˁɔk（lù）	rˤok	roːk（lù）	roːk（lù）	lɔk	lewk	✓
禄	來一東入	lok	rôk	roːg		b-rok	lok		ɹˁɔk（lù）						✓
箓	來一東入			roːg						rˤok					✓
簏	來一東入			roːg				luk		rˤok				lewk	✓
簶	來一東入			roːg						rˤok					✓
蔍	來一東入			roːg						rˤok					✓
螰	來一東入			roːg						rˤok					✓
觻	來一東入・來開四青入			reːwɢ・roːwɢ						rˤeuk					✓
趢	來一東入・來三鍾入			roːg・rog				luk・ljuk		rˤok・rok				lewk・liewk	✓
轆	來一東入	lek・lok		roːg						rˤok					✓
鄜	來一東入・滂三C虞平			pʰlo・roːg						rˤok					✓
鏕	來一東入			roːg						rˤok					✓
騼	來一東入			roːg						rˤok					✓
鹿	來一東入	lok	rôk	b·roːg	mə-rˤok	C-rok	lok		ɹˁɔk（lù）	rˤok	roːk（lù）	roːk（lù）	lɔk	lewk	✓
麓	來一東入	lok	rôk	roːg			lok	luk		rˤok			lɔk	lewk	✓
龣	來一東入・見二江入			kroːg・roːg						rˤok					✓
㪖	來一東入・來三鍾入									rˤok・rok					✓
㯟	來一東入	lok	rôk		[r]ˤok				ɹˁɔk（lù）	rˤok				lewk	✓
㼾	來一東入									rˤok					✓
䍡	來一東入	lok	rôk					luk		rˤok				lewk	✓
䎑	來一東入									rˤok					✓
䚄	來一東入・來三鍾入							luk・ljuk		rˤok・rok				lewk・liewk	✓
䮽	來一東入														
𤽺	來一東入									rˤok					✓
𥂇	來一東入														
𥂖	來一東入									rˤok					✓
𥉶	來一東入									rˤok					✓
𥛞	來一東入									rˤok					✓
𦌟	來一東入									rˤok					✓
𦪇	來一東入									rˤok					✓
𧌍	來一東入									rˤok					✓
𨌠	來一東入									rˤok					✓
𨏔	來一東入														
𩅄	來一東入									rˤok					✓
倲	端一東平			toːŋ						tˤoŋ					✓
埬	端一東平			toːŋ						tˤoŋ					✓
崠	端一東平			toːŋ						tˤoŋ					✓
東	端一東平	toŋ	tôŋ	toːŋ	tˤoŋ・tˤoŋʔ❓	toŋ	toŋ	tuŋ	tˁɔŋ（dōng）	tˤoŋ	toːŋ（dōng）	toːŋ（dōng）	tɔŋ	tewŋ	✓
菄	端一東平			toːŋ						tˤoŋ					✓
鯟	端一東平			toːŋ						tˤoŋ					✓
鶇	端一東平			toːŋ						tˤoŋ					✓
䰤	端一東平									tˤoŋ					✓
𠍀	端一東平									tˤoŋ					✓
𢔅	端一東平									tˤoŋ					✓
𢘐	端一東平														
𧓕	端一東平									tˤoŋ					✓
𩜍	端一東平									tˤoŋ					✓
懂	端一東上			toːŋʔ											✓
箽	端一東上			toːŋʔ						tˤoŋʔ					✓
董	端一東上	toŋᴮ	tôŋʔ	toːŋʔ				tuŋx		tˤoŋʔ			tɔŋ	tewŋ	✓
蝀	端一東上・端一東平	toŋ	tôŋ・tlôŋ	toːŋ・toːŋʔ		toŋʔ	toŋ	tuŋ・tuŋx		tˤoŋ・tˤoŋʔ	toːŋ（dōng）		tɔŋ・tɔŋ	tewŋ・tewŋ	✓
䵔	端一東上									tˤoŋʔ					✓
𢤦	端一東上														
𧄓	端一東上									tˤoŋʔ					✓
凍	端一東去・端一東平	toŋᶜ	tôŋh	toːŋ・toːŋs	tˤoŋ-s			tuŋ・tuŋh	tˁɔŋh（dòng）	tˤoŋ・tˤoŋh	toːŋh（dòng）		tɔŋ	tewŋ・tewŋ	✓
棟	端一東去	toŋᶜ	tôŋh	toːŋs				tuŋh		tˤoŋh			tɔŋ	tewŋ	✓
涷	端一東去・端一東平	toŋᶜ	tôŋh	toːŋ・toːŋs				tuŋ・tuŋh		tˤoŋ・tˤoŋh			tɔŋ	tewŋ・tewŋ	✓
腖	端一東去														
㼯	端一東去									tˤoŋh					✓
𩭩	端一東去									tˤoŋh					✓
剢	端一東入			toːg						tˤok					✓
𡰪	端一東入・端一冬入														
𢽴	端一東入														
𣫔	端一東入									tˤok					✓
𧞐	端一東入							tuk		tˤok				tewk	✓
嗵	透一東平														
痌	透一東平			tʰoːŋ						l̥ˤoŋ					✓
蓪	透一東平			l̥ʰoːŋ						l̥ˤoŋ					✓
通	透一東平	tʰoŋ	l̥ôŋ	l̥ʰoːŋ	l̥ˤoŋ			tʰuŋ	[l̥]ˁɔŋ（tōng）	l̥ˤoŋ	l̥oːŋ（tōng）		tʰɔŋ	tʰewŋ	✓
𧳆	透一東平									l̥ˤoŋ					✓
𨀜	透一東平									l̥ˤoŋ					✓
垌	透一東上														
捅	透一東上			l̥ʰoːŋʔ						l̥ˤoŋʔ❓					✓
痛	透一東去	tʰoŋᶜ	l̥ôŋh	l̥ʰoːŋs	l̥ˤoŋ-s			tʰuŋh	[l̥]ˁɔŋh（tòng）	l̥ˤoŋh❓	l̥oːŋh（tòng）		tʰɔŋ	tʰewŋ	✓
禿	透一東入			tʰoːg・l̥ʰoːg	[tʰ]ˤok			tʰuk	[tʰ]ˁɔk（tū）	l̥ˤok	(s)l̥oːk（tū）		tʰɔk	tʰewk	✓
秃	透一東入	tʰok	tʰôk												✓
鵚	透一東入			tʰoːg・l̥ʰoːg						l̥ˤok					✓
䛢	透一東入・透合一歌平									l̥ˤok					✓
𢬳	透一東入									l̥ˤok					✓
𣬜	透一東入									l̥ˤok					✓
仝	定一東平・從合三仙平			zlon・doːŋ										dewŋ	✓
僮	定一東平・澄二江去	doŋ	dôŋ	doːŋ		doŋ	doŋ	duŋ	dˁɔŋ（tóng）	dˤoŋ	dʱoːŋ（tóng）	dʱoːŋ（tóng）	dɔŋ	dewŋ	✓
同	定一東平	doŋ	dôŋ	doːŋ	lˤoŋ	doŋ	zoŋ	duŋ	[l]ˁɔŋ（tóng）	lˤoŋ	dɮoːŋ（tóng）	dɮoːŋ（tóng）	dɔŋ	dewŋ	✓
哃	定一東平			doːŋ						lˤoŋ					✓
曈	定一東平・透一東上・透一東平			tʰoːŋ・tʰoːŋʔ・doːŋ						dˤoŋ			dɔŋ		✓
桐	定一東平	doŋ	dôŋ	doːŋ			zoŋ	duŋ		lˤoŋ			dɔŋ	dewŋ	✓
橦	定一東平・澄二江平・章三鍾平			rdoːŋ・doːŋ・tjoŋ				tjuŋ		dˤoŋ・drˤoŋ・toŋ				tjewŋ	✓
潼	定一東平・昌三鍾平			doːŋ・tʰjoŋ				duŋ・tʰjuŋ		dˤoŋ・tʰoŋ			dɔŋ	dewŋ・tʰjewŋ	✓
烔	定一東平		lûŋ	doːŋ						lˤoŋ					✓
犝	定一東平			doːŋ						dˤoŋ					✓
瞳	定一東平	tʰoŋ	tʰôŋ	doːŋ						dˤoŋ			dɔŋ		✓
砼	定一東平														
穜	定一東平・澄三鍾平	ɖjoŋ・doŋ	droŋ・dôŋ	doːŋ・doŋ			zoŋ	duŋ・drjuŋ		dˤoŋ・droŋ				dewŋ・diewŋ	✓
童	定一東平	doŋ	dôŋ	doːŋ	[d]ˤoŋ	doŋ	doŋ	duŋ	dˁɔŋ（tóng）	dˤoŋ	dʱoːŋ（tóng）	dʱoːŋ（tóng）	dɔŋ	dewŋ	✓
